ds,y
2020-01-21,989760.0
2020-01-22,1018560.0
2020-01-23,951700.0
2020-01-24,904720.0
2020-01-26,586860.0
2020-01-26,669320.0
2020-01-27,1157800.0
2020-01-28,1215500.0
2020-01-29,1063600.0
2020-01-30,870960.0
2020-01-31,1210760.0
2020-02-01,704680.0
2020-02-02,682960.0
2020-02-03,1100260.0
2020-02-04,1061200.0
2020-02-05,1304520.0
2020-02-06,1014100.0
2020-02-07,954580.0
2020-02-08,743220.0
2020-02-09,467360.0
2020-02-10,1254720.0
2020-02-11,1249760.0
2020-02-12,1047740.0
2020-02-13,1036500.0
2020-02-14,1294380.0
2020-02-15,707060.0
2020-02-16,568360.0
2020-02-17,862100.0
2020-02-18,1104080.0
2020-02-19,1174300.0
2020-02-20,1201880.0
2020-02-21,1087760.0
2020-02-22,741180.0
2020-02-23,609390.0
2020-02-24,1136409.0
2020-02-25,937560.0
2020-02-26,1196305.0
2020-02-27,1445020.0
2020-02-28,
2020-02-28,1382720.0
2020-02-29,911250.0
2020-03-01,531100.0
2020-03-02,1391040.0
2020-03-03,1254640.0
2020-03-04,989640.0
2020-03-05,1487040.0
2020-03-06,1283580.0
2020-03-07,877840.0
2020-03-08,488880.0
2020-03-09,979360.0
2020-03-10,1028756.0
2020-03-11,767000.0
2020-03-12,977100.0
2020-03-13,1008897.0
2020-03-14,772598.0
2020-03-15,401100.0
2020-03-16,733019.0
2020-03-17,498737.0
2020-03-18,350789.0
2020-03-19,221240.0
2020-06-01,122000.0
2020-06-02,270150.0
2020-06-03,193850.0
2020-06-04,99700.0
2020-06-05,174000.0
2020-06-06,185200.0
2020-06-08,141900.0
2020-06-09,299700.0
2020-06-10,222450.0
2020-06-11,204700.0
2020-06-12,227650.0
2020-06-13,144493.0
2020-06-15,229500.0
2020-06-16,213000.0
2020-06-17,187350.0
2020-06-18,282600.0
2020-06-19,178100.0
2020-06-20,260400.0
2020-06-22,180800.0
2020-06-23,249500.0
2020-06-24,208900.0
2020-06-25,277500.0
2020-06-26,243300.0
2020-06-27,89780.0
2020-06-29,257700.0
2020-06-30,242800.0
2020-07-01,250338.0
2020-07-02,211750.0
2020-07-03,276840.0
2020-07-04,125700.0
2020-07-06,255916.0
2020-07-07,237600.0
2020-07-08,196800.0
2020-07-09,178660.0
2020-07-10,284180.0
2020-07-11,151700.0
2020-07-13,134400.0
2020-07-14,203150.0
2020-07-15,241200.0
2020-07-16,216593.0
2020-07-17,252200.0
2020-07-18,170300.0
2020-07-20,364600.0
2020-07-21,179000.0
2020-07-22,197800.0
2020-07-23,182316.0
2020-07-24,270800.0
2020-07-25,136700.0
2020-07-27,259900.0
2020-07-28,228450.0
2020-07-29,231500.0
2020-07-30,222993.0
2020-07-31,300020.0
2020-08-01,201800.0
2020-08-03,305700.0
2020-08-04,302700.0
2020-08-05,292100.0
2020-08-06,219300.0
2020-08-07,362550.0
2020-08-08,271500.0
2020-08-10,220900.0
2020-08-11,353450.0
2020-08-12,343450.0
2020-08-13,314300.0
2020-08-14,353250.0
2020-08-15,250900.0
2020-08-16,294850.0
2020-08-17,281800.0
2020-08-18,371100.0
2020-08-19,269700.0
2020-08-20,286463.0
2020-08-21,314200.0
2020-08-24,330220.0
2020-08-25,459600.0
2020-08-26,275500.0
2020-08-27,441200.0
2020-08-28,312150.0
2020-08-29,226200.0
2020-08-31,521840.0
2020-09-01,213600.0
2020-09-02,447850.0
2020-09-03,411800.0
2020-09-04,624400.0
2020-09-06,765900.0
2020-09-07,605490.0
2020-09-08,835200.0
2020-09-09,483600.0
2020-09-10,633200.0
2020-09-11,589800.0
2020-09-14,593900.0
2020-09-15,687080.0
2020-09-16,658860.0
2020-09-17,651760.0
2020-09-20,537410.0
2020-09-21,483030.0
2020-09-22,824700.0
2020-09-23,540250.0
2020-09-24,929972.0
2020-09-25,913422.0
2020-09-28,677700.0
2020-09-29,628950.0
2020-09-30,888840.0
2020-10-01,897921.0
2020-10-02,952460.0
2020-10-03,989700.0
2020-10-04,565020.0
2020-10-05,831060.0
2020-10-06,833800.0
2020-10-07,743093.0
2020-10-08,946350.0
2020-10-09,791600.0
2020-10-10,843467.0
2020-10-11,612400.0
2020-10-12,807950.0
2020-10-13,733000.0
2020-10-14,626620.0
2020-10-15,994950.0
2020-10-16,938850.0
2020-10-18,445400.0
2020-10-19,661500.0
2020-10-20,809100.0
2020-10-21,666800.0
2020-10-22,670250.0
2020-10-23,875900.0
2020-10-26,772500.0
2020-10-27,654780.0
2020-10-28,710300.0
2020-10-29,775680.0
2020-10-30,932038.0
2020-10-31,751910.0
2020-11-01,602980.0
2020-11-02,732930.0
2020-11-03,728560.0
2020-11-04,728600.0
2020-11-05,959200.0
2020-11-06,1096510.0
2020-11-07,870284.0
2020-11-08,763350.0
2020-11-09,1015730.0
2020-11-10,1031313.0
2020-11-11,806860.0
2020-11-12,968655.0
2020-11-13,834580.0
2020-11-14,1015335.0
2020-11-15,544000.0
2020-11-16,1018010.0
2020-11-17,958790.0
2020-11-18,947220.0
2020-11-19,999580.0
2020-11-20,1067482.0
2020-11-21,839302.0
2020-11-22,460250.0
2020-11-23,814860.0
2020-11-24,968340.0
2020-11-25,710551.0
2020-11-26,799290.0
2020-11-27,868810.0
2020-11-28,963199.0
2020-11-29,809110.0
2020-11-30,914890.0
2020-12-01,964680.0
2020-12-02,957700.0
2020-12-03,1036232.0
2020-12-04,966500.0
2020-12-06,916417.0
2020-12-06,693410.0
2020-12-07,1351960.0
2020-12-09,894860.0
2020-12-09,574050.0
2020-12-10,886280.0
2020-12-11,837470.0
2020-12-12,894176.0
2020-12-13,578860.0
2020-12-14,934060.0
2020-12-15,823670.0
2020-12-16,1157860.0
2020-12-17,1212950.0
2020-12-18,1167077.0
2020-12-19,865173.0
2020-12-20,672700.0
2020-12-21,1237210.0
2020-12-22,1193290.0
2020-12-23,1133250.0
2020-12-24,635600.0
2020-12-26,1144160.0
2020-12-27,917750.0
2020-12-28,1387244.0
2020-12-29,1201724.0
2020-12-30,1146070.0
2020-12-31,926390.0
2021-01-02,728680.0
2021-01-03,1148130.0
2021-01-04,604010.0
2021-01-05,910440.0
2021-01-06,1004210.0
2021-01-07,841296.0
2021-01-08,989790.0
2021-01-09,160580.0
2021-01-10,293950.0
2021-01-11,778840.0
2021-01-12,833700.0
2021-01-13,832460.0
2021-01-14,816460.0
2021-01-15,659390.0
2021-01-16,302570.0
2021-01-17,268140.0
2021-01-18,864700.0
2021-01-19,923810.0
2021-01-20,814052.0
2021-01-21,939660.0
2021-01-22,960340.0
2021-01-23,311130.0
2021-01-24,238870.0
2021-01-25,798850.0
2021-01-26,748400.0
2021-01-27,759900.0
2021-01-28,873000.0
2021-01-29,978090.0
2021-01-30,409760.0
2021-01-31,328989.0
2021-02-01,837520.0
2021-02-02,976190.0
2021-02-03,771340.0
2021-02-04,1076090.0
2021-02-05,981239.0
2021-02-06,448517.0
2021-02-07,448220.0
2021-02-08,884840.0
2021-02-09,840460.0
2021-02-10,748720.0
2021-02-11,1168050.0
2021-02-12,1227820.0
2021-02-13,1302140.0
2021-02-14,1493450.0
